sources,destinations,w,timestamps,edge_idxs,review_date
0.0,1.0,2.321928094887362,929232000.0,1.0,1999-06-13
2.0,3.0,1.0,930787200.0,2.0,1999-07-01
4.0,1.0,1.0,931824000.0,3.0,1999-07-13
5.0,6.0,2.0,931824000.0,4.0,1999-07-13
7.0,8.0,1.584962500721156,931824000.0,5.0,1999-07-13
9.0,10.0,2.321928094887362,931910400.0,6.0,1999-07-14
11.0,12.0,2.321928094887362,931996800.0,7.0,1999-07-15
11.0,13.0,2.321928094887362,931996800.0,8.0,1999-07-15
14.0,15.0,2.321928094887362,932688000.0,9.0,1999-07-23
16.0,17.0,2.321928094887362,932688000.0,10.0,1999-07-23
18.0,19.0,2.321928094887362,935280000.0,11.0,1999-08-22
20.0,10.0,2.321928094887362,935452800.0,12.0,1999-08-24
21.0,13.0,2.0,936230400.0,13.0,1999-09-02
22.0,23.0,2.321928094887362,936921600.0,14.0,1999-09-10
24.0,25.0,2.321928094887362,937785600.0,15.0,1999-09-20
26.0,27.0,2.321928094887362,937958400.0,16.0,1999-09-22
28.0,29.0,0.0,939513600.0,17.0,1999-10-10
30.0,31.0,1.584962500721156,939772800.0,18.0,1999-10-13
32.0,33.0,2.0,940118400.0,19.0,1999-10-17
34.0,35.0,2.0,940291200.0,20.0,1999-10-19
36.0,37.0,2.0,940291200.0,21.0,1999-10-19
38.0,15.0,2.0,940377600.0,22.0,1999-10-20
39.0,40.0,2.0,940636800.0,23.0,1999-10-23
41.0,42.0,2.321928094887362,940723200.0,24.0,1999-10-24
43.0,23.0,2.321928094887362,940723200.0,25.0,1999-10-24
44.0,45.0,1.0,940809600.0,26.0,1999-10-25
11.0,27.0,2.0,940896000.0,27.0,1999-10-26
18.0,46.0,2.0,941500800.0,28.0,1999-11-02
47.0,40.0,2.321928094887362,941673600.0,29.0,1999-11-04
48.0,49.0,2.0,941673600.0,30.0,1999-11-04
50.0,51.0,1.0,941760000.0,31.0,1999-11-05
52.0,53.0,1.584962500721156,941760000.0,32.0,1999-11-05
54.0,55.0,2.321928094887362,942105600.0,33.0,1999-11-09
56.0,51.0,2.0,942364800.0,34.0,1999-11-12
57.0,17.0,2.0,942364800.0,35.0,1999-11-12
58.0,59.0,2.321928094887362,942451200.0,36.0,1999-11-13
60.0,51.0,2.0,942451200.0,37.0,1999-11-13
